"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
52,1000,"GAUSS",0.971938953494788,0.00640503168152877,FALSE,TRUE,NA,NA,NA,NA,0.946033670021321,4.48172777778311e-08,FALSE,TRUE,0.394353814331894,0.0445983292282505,FALSE,TRUE,0.977465055144897,0.284288850013895,0.326671058603611,0.416260359335648,NA,NA,NA,NA,NA,NA,NA
53,1000,"GAUSS",0.0394356590883062,0.175498835236066,TRUE,FALSE,NA,NA,NA,NA,0.0506068006709705,3.18677912175547e-05,FALSE,TRUE,0.0789046226736738,0.163644786800405,FALSE,FALSE,0.124439339276277,0.884449037741319,0.734502666995275,0.863019566349324,NA,NA,NA,NA,NA,NA,NA
54,1000,"GAUSS",0.853143652545214,0.000869835261664915,FALSE,TRUE,NA,NA,NA,NA,0.75395473468404,1.88812084561674e-05,FALSE,TRUE,0.0442488501071852,0.000412759497303855,TRUE,TRUE,0.220240902386187,0.20903650115726,0.158096563706355,0.613511679768539,NA,NA,NA,NA,NA,NA,NA
55,1000,"GAUSS",0.246451874243793,0.000279120013845205,FALSE,TRUE,NA,NA,NA,NA,0.215866469503617,1.15163320434375e-05,FALSE,TRUE,0.421420734742228,0.0063184756999702,FALSE,TRUE,0.149460607345527,0.103038038876578,0.054400022217114,0.195539578618552,NA,NA,NA,NA,NA,NA,NA
56,1000,"GAUSS",0.370322381451743,0.0181651626591454,FALSE,TRUE,NA,NA,NA,NA,0.956949121183522,0.000402084822589854,FALSE,TRUE,0.232659158597313,0.43105974719431,FALSE,FALSE,0.550858450201306,0.800004106649456,0.945436576407157,0.643410329992038,NA,NA,NA,NA,NA,NA,NA
57,1000,"GAUSS",0.52970981487976,0.184189384449521,FALSE,FALSE,NA,NA,NA,NA,0.456538873021973,5.1646765387714e-06,FALSE,TRUE,0.812583878658802,0.0569082723482565,FALSE,FALSE,0.127088864633518,0.314363753905732,0.971394771761718,0.949348226017636,NA,NA,NA,NA,NA,NA,NA
58,1000,"GAUSS",0.0683634757212514,0.367044711703126,FALSE,FALSE,NA,NA,NA,NA,0.114467883480489,0.00041264341079239,FALSE,TRUE,0.0987216648803072,0.717913910297646,FALSE,FALSE,0.864857193296123,0.425996070917633,0.968959562713974,0.234759997780099,NA,NA,NA,NA,NA,NA,NA
59,1000,"GAUSS",0.520534944228779,0.130214218003507,FALSE,FALSE,NA,NA,NA,NA,0.355664928965341,0.00744264421905438,FALSE,TRUE,0.2436074843516,0.235694793536284,FALSE,FALSE,0.276486236765909,0.161888427692734,0.511011116059354,0.589722429543596,NA,NA,NA,NA,NA,NA,NA
60,1000,"GAUSS",0.553987886154326,0.000248943327290553,FALSE,TRUE,NA,NA,NA,NA,0.549481450422223,7.33654010709461e-06,FALSE,TRUE,0.115540907365188,0.0013207309703087,FALSE,TRUE,0.211400544884417,0.972826803966948,0.6807367421019,0.584945291502879,NA,NA,NA,NA,NA,NA,NA
61,1000,"GAUSS",0.301088214228151,0.0010948400897193,FALSE,TRUE,NA,NA,NA,NA,0.557263614687851,1.03836078624298e-07,FALSE,TRUE,0.75372524825268,0.00979894379550039,FALSE,TRUE,0.38348693707886,0.768435333656447,0.56322673066874,0.670170829935978,NA,NA,NA,NA,NA,NA,NA
